;Pays;Code ISO;Accession à l’enseignement secondaire (%);Adolescents non scolarisés (% des adolescents en âge de fréquenter le 1er cycle du secondaire);Emploi des enfants dans l’agriculture (% d’enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur);Emploi d’enfants dans le secteur des services (% des enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur);Emploi d’enfants dans le secteur manufacturier (% des enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur);Enfants actifs économiquement, qui travaillent uniquement (% de tous les enfants de 7 à 14 ans);Enfants actifs économiquement, qui étudient et travaillent (% de tous les enfants économiquement actifs de 7 à 14 ans);Enfants actifs économiquement, total (% des enfants âgés de 7 à 14 ans);Enfants non scolarisés (% des enfants d’âge primaire);Inscriptions à l’école, enseignement supérieur (% brut);Inscriptions à l’école, primaire (% brut);Inscriptions à l’école, préscolaire, (% brut);Inscriptions à l’école, secondaire (% brut);Ratio femmes/hommes des inscriptions dans l’enseignement supérieur;Ratio filles/garçons des inscriptions au primaire (%);Ratio filles/garçons des inscriptions au secondaire (%);Taux d emploi, 15-24 ans (%) (estimation nationale);Taux d’achèvement de l’école primaire, total (% du groupe d’âge pertinent);Taux d’achèvement du premier cycle des études secondaires, total (% du groupe d’âge pertinent);Taux d’alphabétisation des jeunes (% des jeunes âgés de 15 à 24 ans);Taux d’alphabétisation, total des adultes (% des personnes âgées de 15 ans et plus);Âge de début de l’école primaire (années);Âge de début de l’école secondaire (années)
0;Afghanistan;AFG;89,78307333;;;;;50;50;9,3;;4,61934185;94,89555391;3,080470085;39,70097115;0,294833332;0,599088334;0,442297649;41,56750011;83,51177216;43,78614283;56,20529938;37,2342844;7;13
1;Afrique du Sud;ZAF;96,816158;13,7858057;;;;;;;7,176252484;20,99497159;104,2685801;22,9146471;94,45725923;1,29652667;0,963646107;1,068906461;12,69684209;90,04766973;80,10578003;98,17669678;92,1094408;7;14
2;Albanie;ALB;98,83375333;4,755447477;83,85;9,25;1,26;5,9;94,1;13,75;6,47287329;41,65042702;100,3352468;66,30031927;86,71537379;1,308676845;1,016700007;0,982992951;23,37461545;96,28248644;92,40100316;99,12378998;97,37700806;6;10,6
3;Algérie;DZA;96,59152867;;;;;4,508654831;95,49134517;7,500763698;2,718591751;29,79848688;111,3454405;35,69460883;80,69989777;1,29964929;0,938632629;1,063732732;19,99857167;98,09992298;71,4746062;93,27767372;74,76651573;6;11,4
4;Allemagne;DEU;99,62786667;2,63991471;;;;;;;2,28048055;67,46791712;102,8961936;108,6933072;101,3359261;0,985776663;0,995831665;0,959991111;45,65631585;100,2952402;82,62945938;;;6;10
6;Angola;AGO;46,650085;25,08487384;;;;26,6;73,4;30,1;18,19633245;4,760963354;107,8455823;87,80827522;25,17607975;0,685894001;0,796904004;0,728504275;35,15400009;40,99473667;18,59268634;74,81280899;66,71776581;6;11,4
7;Antigua-et-Barbuda;ATG;99,29605;2,380392432;;;;;;;2,327176994;17,91717267;109,0895683;84,57260132;111,1272911;1,565445006;0,954968995;1,023484004;;102,5244265;95,12589645;;98,94999695;5;12
8;Arabie saoudite;SAU;94,19086375;3,432197601;;;;;;;2,676858644;43,51855489;105,5530793;15,90722649;103,8918753;1,144338947;0,993842146;0,924657149;12,46499991;102,1505737;98,54088783;98,12444814;90,87090302;6;12
9;Argentine;ARG;96,68097938;1,65817235;;;;4,77647;95,22353;8,9626255;0,358018824;72,67041868;114,8515095;67,61236415;99,31133225;1,344431772;0,993551184;1,080578222;32,44769243;100,7372028;83,29604025;99,42415827;98,85279499;6;12
10;Arménie;ARM;98,63207333;6,018591046;;;;0;100;9,9;7,506259339;46,02248563;98,99024482;39,91367902;91,52894756;1,211116847;1,014192631;1,01987198;22,45461537;94,78408051;93,01974429;99,83390045;99,62687937;6,5;10
11;Aruba;ABW;99,02311;5,694058716;;;;;;;1,441609097;28,32570708;111,7516196;102,6994166;98,84094874;1,366054364;0,96316;1,03474084;;94,23503049;94,01079475;99,31920624;97,31502914;6;12
12;Australie;AUS;;1,107231674;;;;;;;1,051243878;115,1316967;103,2991702;106,1667129;148,3163071;1,29163;1,006763895;0,891294986;60,59099998;;;;;5;12
13;Autriche;AUT;99,90480143;1,551075888;;;;;;;1,931846673;77,07024479;101,3351864;95,64225854;99,53965123;1,160786649;0,991996662;0,958371669;52,06842121;98,80267868;99,83844706;;;6;10
14;Azerbaïdjan;AZE;98,93710059;8,762566348;91,7;7,4;0,7;6,3;93,7;5,2;8,53709321;22,78081131;98,53564333;26,63101066;94,62778473;1,071037854;0,982291055;0,999470025;30,74399986;96,29506924;87,08648639;99,95026779;99,76262817;6;10
